participant,exp,task,item,status,TextGridLabel,duration,sex
p04,carrier,2,bollito,hit,j,60.88,m
p04,carrier,2,bollito,hit,i,68.51,m
p04,carrier,2,bolsa,hit,o,74.07,m
p04,carrier,2,bulle,hit,j,59.25,m
p04,carrier,2,bulle,hit,e,70.54,m
p04,carrier,2,bullicio,hit,j,69.39,m
p04,carrier,2,bullicio,hit,i,75.75,m
p04,carrier,2,caballero,hit,j,53.56,m
p04,carrier,2,caballero,hit,e,62.25,m
p04,carrier,2,caballito,hit,j,56.08,m
p04,carrier,2,caballito,hit,i,70.81,m
p04,carrier,2,cabello,hit,o,52.16,m
p04,carrier,2,calle,hit,j,57.01,m
p04,carrier,2,calle,hit,e,77.26,m
p04,carrier,2,callejero,hit,e,100.51,m
p04,carrier,2,cebolla,hit,j,25.67,m
p04,carrier,2,cebolla,hit,a,121.45,m
p04,carrier,2,centella,hit,j,32.09,m
p04,carrier,2,centella,hit,a,60.94,m
p04,carrier,2,chillo,hit,j,50.27,m
p04,carrier,2,chillo,hit,o,63.93,m
p04,carrier,2,cholla,hit,j,55.01,m
p04,carrier,2,cholla,hit,a,73.76,m
p04,carrier,2,concha,hit,o,88.63,m
p04,carrier,2,conejo,hit,e,85.35,m
p04,carrier,2,costilla,hit,j,66.8,m
p04,carrier,2,costilla,hit,a,82.2,m
p04,carrier,2,coyunda,hit,j,64.75,m
p04,carrier,2,coyunda,hit,u,93.25,m
p04,carrier,2,cuchillo,hit,j,46.2,m
p04,carrier,2,cuchillo,hit,o,79.76,m
p04,carrier,2,dedo,hit,e,122.7,m
p04,carrier,2,descanso,hit,a,87.44,m
p04,carrier,2,dinero,hit,e,132.67,m
p04,carrier,2,dinosaurio,hit,a,97.2,m
p04,carrier,2,dinosaurio,hit,u,64.15,m
p04,carrier,2,edificio,hit,i,93.73,m
p04,carrier,2,ella,hit,j,25.26,m
p04,carrier,2,ella,hit,a,54.64,m
p04,carrier,2,espejo,hit,e,82.25,m
p04,carrier,2,estrella,hit,j,59.86,m
p04,carrier,2,estrella,hit,a,60.08,m
p04,carrier,2,estrellita,hit,j,58.19,m
p04,carrier,2,estrellita,hit,i,75.93,m
p04,carrier,2,flaco,hit,a,90.78,m
p04,carrier,2,flauta,hit,a,67.97,m
p04,carrier,2,flauta,hit,u,58.99,m
p04,carrier,2,flor,hit,o,125.59,m
p04,carrier,2,fortuna,hit,u,81.93,m
p04,carrier,2,fruta,hit,u,96.19,m
p04,carrier,2,gallina,hit,j,50.26,m
p04,carrier,2,gallina,hit,i,73.96,m
p04,carrier,2,gallo,hit,j,45.69,m
p04,carrier,2,gallo,hit,o,84.68,m
p04,carrier,2,grillo,hit,j,59.18,m
p04,carrier,2,grillo,hit,o,54.1,m
p04,carrier,2,heroe,hit,o,50.51,m
p04,carrier,2,heroe,hit,e,62.15,m
p04,carrier,2,isla,hit,i,116.27,m
p04,carrier,2,juguete,hit,e,147.03,m
p04,carrier,2,lapiz,hit,a,98.13,m
p04,carrier,2,lavadora,hit,o,126.44,m
p04,carrier,2,ley,hit,e,101.74,m
p04,carrier,2,ley,hit,i,94.27,m
p04,carrier,2,leyenda,hit,j,72.73,m
p04,carrier,2,leyenda,hit,e,78.48,m
p04,carrier,2,leyes,hit,j,47.93,m
p04,carrier,2,leyes,hit,e,49.79,m
p04,carrier,2,libra,hit,i,103.11,m
p04,carrier,2,lider,hit,i,104.27,m
p04,carrier,2,logro,hit,o,162.39,m
p04,carrier,2,luna,hit,u,110.85,m
p04,carrier,2,manzana,hit,a,93.75,m
p04,carrier,2,microfono,hit,o,79.51,m
p04,carrier,2,milla,hit,j,66.56,m
p04,carrier,2,milla,hit,a,75.58,m
p04,carrier,2,montoya,hit,j,63.15,m
p04,carrier,2,montoya,hit,a,89.43,m
p04,carrier,2,naranja,hit,a,139.96,m
p04,carrier,2,negocio,hit,o,117.18,m
